冲次,冲次,日产液量,日产油量,日产气量
0.77,0.77,9,1.9,0
0.67,0.67,7.8,3.8,0
0.81,0.81,12.6,7.8,0
0.81,0.81,11.9,8,0
0.81,0.81,9.4,6.7,0
0.81,0.81,9.2,6.6,0
1,1,10,7.2,0
0.99,0.99,10.7,7.9,0
0.99,0.99,9.3,6.8,0
1,1,11,8,0
1,1,10.8,7.9,0
1,1,10.6,7.7,0
1,1,10.4,7.6,0
1,1,10.4,7.6,0
1,1,10.1,7.4,0
1,1,9.9,7.5,0
1,1,10.2,7.7,0
1,1,10.1,8,0
1,1,10.5,8.4,0
1,1,10.5,8.5,0
1,1,10.2,8.3,0
1,1,10.5,8.5,0
1,1,10.5,8.5,0
1,1,10.5,8.5,0
1,1,10.3,8.5,0
1,1,10.3,8.5,0
1,1,10.3,8.5,0
1,1,10.3,8.5,0
1,1,10.4,8.6,0
1,1,10.3,8.5,0
1,1,10.3,8.5,0
1,1,10.3,8.5,0
1,1,10.3,8.5,0
1,1,10.4,8.6,0
1,1,10.1,8.3,0
1,1,10,8.3,0
1,1,10,8.3,0
1,1,10,8.3,0
1,1,9.7,8,0
1,1,9.4,7.6,0
1,1,9,7.3,0
1,1,8.8,7.1,0
1,1,8.3,6.7,0
1,1,7.9,6.4,0
1,1,7.5,6.1,0
1,1,7.2,5.9,0
1,1,7,5.7,0
1,1,6.5,5.3,0
1,1,6.6,5.4,0
1,1,6.6,5.2,0
1.01,1.01,6.6,5.2,0
1.01,1.01,6.1,4.8,0
1.01,1.01,6.2,5,0
1,1,6.2,5,0
1,1,6.2,5,0
1,1,6.4,5.2,0
1,1,6.2,5,0
1,1,6,5,0
1,1,6,5,0
1,1,5.9,4.9,0
1,1,5.9,4.9,0
1,1,6.3,5.2,0
1,1,5.9,4.8,0
1,1,6,4.9,0
1,1,5.9,4.8,0
1,1,5.9,4.9,0
1,1,5.9,4.9,0
1,1,6,5,0
1,1,5.9,4.8,0
1,1,5.8,4.8,0
1,1,5.8,4.8,0
1,1,5.9,4.9,0
1,1,5.7,4.7,0
1,1,5.8,4.8,0
1,1,5.6,4.6,0
1,1,5.8,4.8,0
1,1,5.7,4.7,0
1,1,5.7,4.7,0
1,1,5.6,4.7,0
1,1,5.6,4.7,0
1,1,5.6,4.6,0
1,1,5.5,4.5,0
1,1,5.5,4.5,0
1,1,5.6,4.7,0
1,1,5.6,4.7,0
1,1,5.5,4.6,0
1,1,5.5,4.5,0
1,1,5.8,4.8,0
1,1,5.7,4.7,0
1,1,5.7,4.7,0
1,1,5.5,4.6,0
1,1,5.4,4.5,0
1,1,5.4,4.4,0
1,1,5.5,4.5,0
1,1,5.5,4.5,0
1,1,5.8,4.8,0
1,1,5.5,4.6,0
1,1,5.2,4.3,0
0.96,0.96,5.6,4.6,0
0.96,0.96,5.9,4.8,0
0.96,0.96,5.9,4.8,0
0.96,0.96,6.3,5.2,0
0.96,0.96,5.4,4.5,0
0.96,0.96,5.1,4.2,0
0.96,0.96,5.2,4.3,0
0.96,0.96,5.1,4.2,0
0.96,0.96,5.2,4.3,0
0.96,0.96,5.1,4.2,0
0.96,0.96,5.2,4.3,0
0.96,0.96,5.1,4.2,0
0.96,0.96,5.1,4.2,0
0.96,0.96,5.2,4.3,0
0.96,0.96,5.1,4.2,0
0.96,0.96,5.1,4.2,0
0.96,0.96,5.1,4.2,0
0.96,0.96,5,4.2,0
0.96,0.96,5.1,4.2,0
0.96,0.96,5.1,4.2,0
0.96,0.96,5,4.1,0
0.96,0.96,5,4.2,0
0.96,0.96,5.1,4.2,0
0.96,0.96,4.9,4.1,0
0.96,0.96,5,4.1,0
0.96,0.96,4.9,4,0
0.96,0.96,5,4.1,0
0.96,0.96,4.9,4.1,0
0.96,0.96,5,4.2,0
0.96,0.96,4.8,4,0
0.96,0.96,4.9,4,0
0.96,0.96,4.9,4,0
0.96,0.96,4.9,4,0
0.96,0.96,4.9,4.1,0
0.96,0.96,4.9,4.1,0
0.96,0.96,4.9,4.1,0
0.96,0.96,4.9,4,0
0.96,0.96,4.9,4,0
0.96,0.96,4.9,4,0
0.96,0.96,4.9,4.1,0
0.96,0.96,4.9,4.1,0
0.96,0.96,4.8,4,0
0.96,0.96,4.8,3.9,0
0.96,0.96,4.7,3.9,0
0.96,0.96,4.7,3.9,0
0.96,0.96,4.8,4,0
0.96,0.96,4.9,4.1,0
0.96,0.96,4.8,4,0
0.96,0.96,4.7,3.8,0
0.96,0.96,4.7,3.8,0
0.96,0.96,4.8,3.9,0
0.96,0.96,4.7,3.8,0
0.96,0.96,4.8,3.8,0
0.96,0.96,4.8,3.8,0
0.96,0.96,4.6,3.7,0
0.96,0.96,4.7,3.8,0
0.96,0.96,4.7,3.8,0
0.96,0.96,4.7,3.8,0
0.96,0.96,4.6,3.7,0
0.96,0.96,4.7,3.8,0
0.96,0.96,4.6,3.6,0
0.96,0.96,4.6,3.6,0
0.96,0.96,4.6,3.6,0
0.96,0.96,4.6,3.7,0
0.96,0.96,4.6,3.7,0
0.96,0.96,4.6,3.7,0
0.96,0.96,4.6,3.6,0
0.96,0.96,4.6,3.6,0
0.96,0.96,4.6,3.6,0
0.96,0.96,4.6,3.7,0
0.96,0.96,4.5,3.6,0
0.96,0.96,4.5,3.6,0
0.96,0.96,4.5,3.6,0
0.96,0.96,4.5,3.6,0
0.96,0.96,4.5,3.6,0
0.96,0.96,4.5,3.6,0
0.96,0.96,4.5,3.6,0
0.96,0.96,4.5,3.6,0
0.95,0.95,4.5,3.6,0
