油嘴,油压,日产液量,日产油量,日产气量
4,30.24,175,73.5,4008
4,30.35,176,74,3744
4,30.35,176,73.9,2640
4,30.65,176,77.4,2400
4,30.6,168,80.6,2640
4,30.5,175,73.5,2640
4,30.3,171,73.5,4800
4,29.5,170,72.9,5040
4,29.3,170,73.4,4320
4,29.2,168,73.9,5520
4,29.1,167,73.4,5520
4,28.9,166,72.8,4884
4,28.75,164,72.3,4941
3,20.29,69,31.5,2169
3,25.62,70,31.8,1976
3,26.72,70,31.5,2077
3,27.36,70,31.2,2194
3,27.89,72,32.3,1735
3,28.21,72,32.4,2157
3,28.32,72,32.9,2228
3,28.5,73,35,2101
3,28.52,73,35.3,2086
3,28.49,73,34.8,2323
3,28.62,72,34.2,2043
3,28.77,72,34.2,2040
3,28.65,72,34.5,2080
3,28.85,72,34.1,2533
3,28.85,71,33.4,2650
3,28.85,71,33.7,2416
3,28.92,71,34,2417
3,28.85,71,33.9,2617
3,28.98,71,33.9,2600
3,28.95,71,33.9,2460
3,28.8,71,33.8,2452
3,28.85,71,34,2568
3,28.81,71,34,2565
3,28.81,70.5,33.9,2256
3,28.81,70.5,33.6,2256
3,28.42,70.5,33.9,2255
3,28.71,70.5,33.7,2043
3,28.61,70.5,33.9,2100
3,28.45,70,33.3,2256
3,28.4,70,33.3,2008
3,28.36,70,33.4,2380
3,28.4,70,33.2,2155
3,28.3,70,33.3,2277
3,28.3,70,33.4,2304
3,28.3,70,33.2,2085
3,28.3,70,33.2,2149
3,28.2,69,32.7,2145
3,28.2,69,32.7,2033
3,28.2,69,32.7,2047
3,28.1,68,32.3,2049
3,28.1,68,32.3,2004
3,28,68,32.3,1992
3,28,68,32.3,1988
3,27.9,68,32.3,2090
3,27.9,68,32.3,2071
3,27.9,68,32.3,2064
3,27.9,68,32.3,2046
3,27.8,68,32.3,2054
3,27.8,67,31.8,2069
3,27.8,68,32.3,2066
3,27.7,68,32.7,2055
3,27.7,67,32.4,2138
3,27.7,67,32.6,2184
3,27.7,67,32.6,2208
3,27.7,67,32.8,2188
3,27.6,66,32.6,2208
3,27.6,66,32.6,2175
3,27.5,66,32.8,2254
3,27.5,65,32.3,2241
3,27.4,65,32.3,2241
3,27.4,65,32.4,2256
3,27.3,64,32,2256
3,27.2,64,32,2239
3,27.1,63,31.6,2304
3,27,63,31.6,2328
3,26.9,63,31.6,2376
3,26.8,63,31.6,2355
