油嘴,油压,日产液量,日产油量,日产气量
3,20,84,4,0
3,15,78,7.5,0
3,10,76.5,13.7,0
3,7,69,17.4,0
3,6,42.5,12.1,0
3,5.5,30.9,12.2,0
3,5,29.5,12.4,0
3,4.5,30.5,14.7,0
3,4.5,30.3,14.2,0
3,4.5,29.8,14,0
3,4.5,29.6,14.8,0
3,4.2,28,14.8,0
3,4.2,27.8,14.9,0
3,4.2,27.1,14.9,0
2.5,4.2,20.2,11.3,0
2.5,4.9,24.6,14.7,0
2.5,4.6,22.4,14.2,0
2.5,4.5,21.9,14.1,0
2.5,4.2,20.5,13.3,0
2.5,4.5,18.8,11.6,0
2.5,4.2,18.6,11.4,0
2.5,4.2,18.5,11.4,0
2.5,4.5,18.5,12.2,0
2.5,4,17,11.5,0
2.5,4,17,11.2,0
2.5,3.9,17,10.9,0
2.5,3.9,17,10.1,0
2.5,3.9,16.6,9.9,0
2.5,3.9,16.6,9.9,0
2.5,3.9,16.3,10.2,0
2.5,3.9,16.3,10.2,0
2.5,3.9,16.3,10.3,0
2.5,3.9,16.1,10.2,0
2.5,3.9,16.1,9.9,0
2.5,3.9,16.1,10,0
2.5,3.2,16.1,9.9,0
2.5,2.8,16.1,9.6,0
2.5,2.8,16,9.6,0
2.5,3.2,16,9.4,0
2.5,2.9,16,9.4,0
2.5,2.8,16,9.7,0
2.5,2.8,16,9.4,0
2.5,2.8,16,9.4,0
2.5,2.8,16,9.5,0
2.5,2.6,16,9.5,0
2.5,2.6,16,9.6,0
2.5,2.6,16,9.4,0
2.5,2.4,15.5,8.9,0
2.5,2.3,15.5,8.7,0
2.5,2.2,15.5,8.8,0
2.5,2,15.5,9.1,0
2.5,2,14.8,9.6,0
2.5,1.8,14.8,9.9,0
2.5,1.7,13.5,9,0
2.5,1.7,13.5,9,0
2.5,1.7,13.5,9,0
2.5,1.7,13.5,8.7,0
2.5,1.7,13.5,8.7,0
2.5,1.7,13.5,8.7,0
2.5,1.7,13.5,9.1,0
2.5,1.7,13.5,9.2,0
2.5,1.7,13.5,9.1,0
2.5,1.5,12.3,8,0
2.5,1.3,11.8,7.8,0
2.5,1.3,11.8,7.9,0
2.5,1.3,11.8,7.8,0
2.5,1.3,10.7,7,0
2.5,1.3,10.7,7.1,0
2.5,1.1,10.3,6.8,0
2.5,1.1,10.3,6.8,0
2.5,1.1,10.3,6.9,0
2.5,1.1,10.3,6.8,0
2.5,0.9,9.8,6.5,0
2.5,0.9,9.8,6.4,0
2.5,0.9,9.8,6.3,0
2.5,0.9,9.8,6.4,0
2.5,0.9,9.8,6.2,0
2.5,0.9,8.6,5.4,0
2.5,0.8,8.6,5.4,0
2.5,0.8,8.6,5.6,0
2.5,0.8,8.6,5.5,0
2.5,0.8,8.6,5.5,0
2.5,0.8,8.6,5.6,0
2.5,0.8,8.6,5.5,0
2.5,0.8,8.6,5.5,0
2.5,0.8,8.2,5.2,0
2.5,0.8,8.2,5.2,0
2.5,0.8,8.2,5.2,0
2.5,0.8,8.2,5.1,0
2.5,0.8,7.9,4.9,0
2.5,0.8,7.9,5.2,0
2.5,0.4,11,7.1,0
6,0.4,8,5.2,0
6,0.4,8,5.3,0
6,0.3,8,5.3,0
6,0.29,8,5.3,0
6,0.26,8,5.3,0
6,0.26,8,5.3,0
6,0.26,7.8,5.4,0
6,0.26,7.8,5.4,0
6,0.26,7.8,5.4,0
6,0.1,4.8,3.4,0
6,0.1,4.8,3.5,0
6,0.1,4.8,3.4,0
6,0.1,4.8,3.5,0
6,0.1,4.9,3.5,0
6,0.1,4.9,3.6,0
6,0.1,4.9,3.5,0
6,0.1,4.8,3.4,0
6,0.1,4.8,3.5,0
6,0.1,4.8,3.5,0
6,0.1,4.8,3.5,0
6,0.1,4.8,3.5,0
6,0.1,4.8,3.4,0
6,0.1,4.8,3.3,0
6,0.1,4.6,3.1,0
