油嘴,油压,日产液量,日产油量,日产气量
6,34,196.2,58.4,18655.44074
6,34,377.7,187.6,17710.0463
6,34,338.4,203,17037.66667
6,33.8,358.1,262.8,16265
6,33.1,315.5,229.3,14123
6,32.7,314.1,228.3,14035
6,32.11,318.1,237.8,13681
5,32.8,214.9,165.7,11053
5,32.8,212.51,168.3,10541
5,32.7,219.2,177.3,10080
5,32.6,214.4,165.8,10032
5,32.2,213.5,165.3,9125
5,32.2,217.9,171.6,9263
5,32.1,207.7,164.9,8865
5,31.9,219.5,169.9,8682
5,31.7,220.4,176.9,8581
5,31.51,213.9,172.7,8368
5,31,206.7,167.1,7985
5,31,220.3,178.1,7762
4,31.8,179.7,144,6840
4,32.2,141.4,113.4,6176
4,32.2,129.4,103.7,5962
4,32.5,126,101.3,5967
4,32.6,121.2,98,5925
4,32.8,129.4,103.9,5988
4,32.8,121.8,98.2,5936
4,32.7,128.4,102.7,5978
4,32.57,130.5,105,5995
4,32.6,130,104.7,5986
4,32.6,127.1,104.5,5971
4,32.4,126.2,102.7,5953
4,32.5,123.5,104.9,5630
4,32.6,121.1,102.3,5618
4,32.6,122.7,103.8,5627
4,32.3,122.8,104.1,5638
4,32.23,120.7,102,5635
4,32.25,122.4,103.6,5863
4,32.14,123.2,104.3,5877
4,32.09,120.6,102,5981
4,32.04,121.3,103.2,7230
4,31.88,120.6,102.5,7527
4,31.8,116.6,102,7347
4,32.21,116.3,102,7371
4,31.54,117.1,102.4,7424
4,31.7,116.8,102.3,7463
4,31.76,116.6,102,7329
4,31.33,117.5,102.5,7419
4,31.55,117.4,102.7,7277
4,31.5,116.7,102.1,7351
4,31.41,117,102.1,5933
4,31.48,116.7,102,7352
4,31.45,117.6,103,7288
4,31.45,113.1,100.4,7366
4,31,113.9,102.9,7235
4,30.87,114.2,103.1,7409
4,30.83,113.4,102.2,7349
4,30.72,107,96,7292
4,30.85,105.3,94,7185
4,30.7,106.8,95.1,7283
4,30.58,105.6,94.1,7168
4,30.51,106.7,95.1,7147
4,30.23,105.3,94,7167
4,30.29,103,92.5,7060
4,30.14,102.7,92.3,7107
4,30.1,104.6,93,7127
4,30.17,103.8,92.5,7050
4,30.02,104.2,93.2,6844
4,30,102.9,91.8,7095
4,29.73,104.6,93.1,7081
4,29.68,103.2,92.2,7010
4,29.73,100.6,89.5,6878
4,29.4,100.1,87.9,7049
4,29.6,100.3,88.1,7036
4,29.55,100.8,88.8,6958
